CRASH DATE,CRASH TIME,OCCURED ON,LATTITUDE,LONGITUDE
4/29/11,7:05 PM,OFF ROAD/ PRIVATE PROPERTY,35.21113,-97.44127
3/24/16,8:45 AM,CITY STREET,35.21113,-97.44127
8/17/10,1:20 PM,CITY STREET,35.21113,-97.44127
8/17/10,1:20 PM,CITY STREET,35.21113,-97.44127
3/31/11,3:00 PM,CITY STREET,33.0243,-96.54125
10/31/16,7:14 AM,INTERSTATE,42.502812,-95.288931
3/31/14,8:20 AM,CITY STREET,44.95942,-93.10375
3/14/16,4:47 PM,STATE HWY,30.377755,-91.223404
2/4/13,6:52 PM,CITY STREET,30.387609,-91.212865
4/27/16,6:36 PM,CITY STREET,30.387609,-91.212865
3/23/15,5:59 PM,CITY STREET,30.388591,-91.211676
10/9/11,2:50 AM,STATE HWY,30.388591,-91.211676
5/23/16,5:00 PM,U.S. HWY,30.388591,-91.211676
6/10/16,11:14 AM,CITY STREET,30.388591,-91.211676
6/10/14,5:12 PM,OFF ROAD/ PRIVATE PROPERTY,30.390069,-91.209968
4/24/12,8:31 AM,OFF ROAD/ PRIVATE PROPERTY,30.390069,-91.209968
3/4/12,3:23 AM,CITY STREET,30.390069,-91.209968
5/7/16,4:21 PM,OFF ROAD/ PRIVATE PROPERTY,30.390069,-91.209968
7/5/16,10:00 PM,OFF ROAD/ PRIVATE PROPERTY,30.390069,-91.209968
9/12/16,2:27 PM,CITY STREET,30.390069,-91.209968
9/14/16,8:28 AM,CITY STREET,30.390069,-91.209968
9/30/16,9:16 PM,OFF ROAD/ PRIVATE PROPERTY,30.390069,-91.209968
10/28/16,4:49 PM,OFF ROAD/ PRIVATE PROPERTY,30.390069,-91.209968
6/14/11,1:00 AM,CITY STREET,30.390069,-91.209968
4/6/15,3:00 AM,U.S. HWY,30.573249,-91.209156
11/9/15,1:04 AM,CITY STREET,30.391468,-91.20905
2/12/10,2:05 AM,OFF ROAD/ PRIVATE PROPERTY,30.391264,-91.209048
10/1/10,2:30 AM,OFF ROAD/ PRIVATE PROPERTY,30.391264,-91.209048
1/21/16,4:36 PM,CITY STREET,30.392461,-91.208169
3/11/16,3:17 PM,STATE HWY,30.392461,-91.208169
9/19/15,6:00 PM,CITY STREET,30.392461,-91.208169
5/5/16,4:30 PM,CITY STREET,30.392461,-91.208169
6/27/16,5:47 PM,CITY STREET,30.392461,-91.208169
8/2/16,9:40 PM,STATE HWY,30.392461,-91.208169
9/13/16,1:49 PM,STATE HWY,30.392461,-91.208169
9/27/16,6:44 PM,CITY STREET,30.392461,-91.208169
2/19/15,7:57 AM,CITY STREET,30.392461,-91.208169
2/1/14,4:43 PM,OFF ROAD/ PRIVATE PROPERTY,30.391091,-91.207584
5/7/16,10:58 PM,OFF ROAD/ PRIVATE PROPERTY,30.391091,-91.207584
1/5/13,12:20 PM,CITY STREET,30.392214,-91.207517
2/10/11,9:21 AM,CITY STREET,30.391059,-91.207323
11/28/12,2:25 AM,OFF ROAD/ PRIVATE PROPERTY,30.391042,-91.207184
9/25/15,4:35 PM,STATE HWY,30.393647,-91.207112
10/3/12,8:17 PM,STATE HWY,30.393649,-91.20711
8/24/11,2:33 PM,CITY STREET,30.393649,-91.20711
6/9/11,6:32 PM,CITY STREET,30.391009,-91.206912
3/9/13,3:08 AM,CITY STREET,30.391004,-91.206871
9/6/11,6:30 PM,OFF ROAD/ PRIVATE PROPERTY,30.389109,-91.206639
1/20/15,11:06 PM,OFF ROAD/ PRIVATE PROPERTY,30.389109,-91.206639
2/24/13,3:19 PM,OFF ROAD/ PRIVATE PROPERTY,30.389109,-91.206639
11/19/14,7:30 AM,OFF ROAD/ PRIVATE PROPERTY,30.389109,-91.206639
1/23/16,2:08 AM,CITY STREET,30.389109,-91.206639
9/18/10,1:37 PM,CITY STREET,30.390922,-91.206195
1/4/15,10:07 PM,CITY STREET,30.390875,-91.205811
7/27/14,9:07 PM,CITY STREET,30.390875,-91.205811
11/18/14,4:49 PM,CITY STREET,30.390875,-91.205811
12/17/12,12:59 AM,CITY STREET,30.390875,-91.205811
3/22/14,3:07 AM,CITY STREET,30.390875,-91.205811
5/27/13,3:08 PM,CITY STREET,30.390839,-91.205509
6/26/15,12:49 PM,OFF ROAD/ PRIVATE PROPERTY,30.392204,-91.205064
12/14/13,10:23 AM,CITY STREET,30.388462,-91.205064
2/9/14,12:08 PM,CITY STREET,30.392338,-91.205002
4/28/10,1:10 PM,CITY STREET,30.392618,-91.204873
1/1/12,3:31 AM,CITY STREET,30.392667,-91.20485
1/29/11,2:01 AM,STATE HWY,30.391633,-91.204533
2/4/13,12:16 PM,CITY STREET,30.393586,-91.204426
2/20/11,9:55 AM,CITY STREET,30.390664,-91.204113
8/21/15,12:00 AM,OFF ROAD/ PRIVATE PROPERTY,30.388626,-91.203927
10/24/16,7:57 AM,CITY STREET,30.392424,-91.203894
11/8/14,9:31 PM,OFF ROAD/ PRIVATE PROPERTY,30.389176,-91.203833
9/4/15,7:35 AM,CITY STREET,30.394025,-91.203815
7/22/15,11:37 AM,CITY STREET,30.394025,-91.203815
11/20/15,2:50 PM,CITY STREET,30.394025,-91.203815
2/17/16,8:45 AM,CITY STREET,30.394025,-91.203815
3/21/16,6:30 AM,CITY STREET,30.394025,-91.203815
3/10/15,5:12 PM,CITY STREET,30.394025,-91.203815
8/24/16,8:01 AM,CITY STREET,30.394025,-91.203815
10/19/16,8:24 AM,CITY STREET,30.394025,-91.203815
11/1/15,12:26 AM,CITY STREET,30.390623,-91.203792
7/7/10,3:20 PM,CITY STREET,30.390623,-91.203792
11/7/13,5:23 PM,CITY STREET,30.550222,-91.203688
7/15/10,12:09 PM,CITY STREET,30.550222,-91.203688
6/13/15,11:05 AM,CITY STREET,30.550222,-91.203688
11/5/10,9:40 AM,CITY STREET,30.550222,-91.203688
10/25/13,3:39 AM,CITY STREET,30.39327,-91.203522
5/4/15,1:15 AM,CITY STREET,30.393389,-91.203463
1/27/11,4:48 PM,CITY STREET,30.393693,-91.203312
12/6/10,2:00 PM,CITY STREET,30.393693,-91.203312
1/16/16,10:16 AM,CITY STREET,30.393693,-91.203312
10/7/14,7:55 AM,CITY STREET,30.393649,-91.202704
10/8/15,8:28 AM,CITY STREET,30.393649,-91.202704
11/8/14,12:21 PM,CITY STREET,30.393649,-91.202704
12/7/10,10:42 AM,CITY STREET,30.393649,-91.202704
3/8/16,9:00 AM,CITY STREET,30.393649,-91.202704
3/22/10,7:14 AM,OFF ROAD/ PRIVATE PROPERTY,30.393586,-91.202518
11/20/15,6:55 AM,OFF ROAD/ PRIVATE PROPERTY,30.534227,-91.202483
10/24/13,8:32 AM,CITY STREET,30.388348,-91.201893
8/4/14,5:07 PM,CITY STREET,30.53603,-91.201631
8/15/10,4:34 AM,CITY STREET,30.535107,-91.201606
9/18/10,3:02 AM,CITY STREET,30.53309,-91.201538
7/24/10,2:17 PM,CITY STREET,30.383091,-91.201426
6/24/16,8:46 PM,OFF ROAD/ PRIVATE PROPERTY,30.38216,-91.200983
5/19/15,8:03 AM,CITY STREET,30.536966,-91.200747
5/18/14,9:48 AM,OFF ROAD/ PRIVATE PROPERTY,30.536919,-91.200746
8/14/12,7:40 AM,CITY STREET,30.536919,-91.200746
11/3/12,2:24 PM,OFF ROAD/ PRIVATE PROPERTY,30.536919,-91.200746
2/24/16,2:23 PM,OFF ROAD/ PRIVATE PROPERTY,30.536896,-91.200745
3/4/12,3:52 AM,OFF ROAD/ PRIVATE PROPERTY,30.391982,-91.200713
12/22/10,8:30 AM,OFF ROAD/ PRIVATE PROPERTY,30.53594,-91.200707
11/8/14,1:07 PM,OFF ROAD/ PRIVATE PROPERTY,30.53594,-91.200707
7/4/15,3:32 PM,OFF ROAD/ PRIVATE PROPERTY,30.53594,-91.200707
2/22/11,8:00 AM,OFF ROAD/ PRIVATE PROPERTY,30.53594,-91.200707
4/4/13,9:00 AM,CITY STREET,30.532537,-91.200672
11/15/11,8:35 AM,CITY STREET,30.532537,-91.200672
5/25/12,12:13 PM,CITY STREET,30.53278,-91.200589
3/24/15,10:13 PM,CITY STREET,30.532537,-91.200581
2/6/13,5:42 PM,CITY STREET,30.391932,-91.200568
10/1/16,2:12 PM,CITY STREET,30.537875,-91.200478
9/20/15,10:06 AM,CITY STREET,30.38023,-91.200349
8/1/13,7:43 PM,CITY STREET,30.534308,-91.200326
12/28/10,2:45 AM,CITY STREET,30.543097,-91.200102
4/16/12,9:33 PM,CITY STREET,30.543882,-91.200079
5/10/12,9:20 AM,CITY STREET,30.540577,-91.199989
4/5/14,12:48 PM,CITY STREET,30.53969,-91.199956
9/13/10,4:05 PM,CITY STREET,30.537896,-91.199942
7/30/11,5:55 PM,CITY STREET,30.537896,-91.199942
3/3/15,9:17 AM,CITY STREET,30.53803,-91.199881
1/12/14,12:56 PM,OFF ROAD/ PRIVATE PROPERTY,30.537403,-91.199855
6/14/10,7:40 PM,CITY STREET,30.536081,-91.199803
8/8/16,10:59 AM,CITY STREET,30.535451,-91.199777
6/29/13,8:30 PM,OFF ROAD/ PRIVATE PROPERTY,30.535112,-91.199762
3/10/13,1:51 PM,CITY STREET,30.535057,-91.19976
2/23/15,6:52 AM,CITY STREET,30.534365,-91.199731
3/9/13,9:09 PM,CITY STREET,30.534365,-91.199731
8/22/16,3:35 PM,CITY STREET,30.54311,-91.199727
6/19/11,10:00 AM,OFF ROAD/ PRIVATE PROPERTY,30.539698,-91.199708
5/25/12,1:41 PM,CITY STREET,30.533319,-91.199685
12/8/11,7:12 PM,CITY STREET,30.532674,-91.199657
8/20/10,1:59 PM,CITY STREET,30.532561,-91.199652
8/23/11,11:49 PM,CITY STREET,30.534343,-91.199519
3/4/15,11:51 PM,CITY STREET,30.392505,-91.199385
12/2/10,6:57 PM,CITY STREET,30.392505,-91.199385
2/15/12,5:45 PM,U.S. HWY,30.553935,-91.199002
1/30/11,12:25 PM,OFF ROAD/ PRIVATE PROPERTY,30.538607,-91.198979
1/24/15,9:28 AM,CITY STREET,30.532596,-91.19891
6/11/14,3:37 PM,CITY STREET,30.377198,-91.198901
10/25/16,7:07 PM,INTERSTATE,30.5291,-91.1989
11/3/16,6:12 AM,INTERSTATE,30.5291,-91.1989
10/26/14,4:46 PM,OFF ROAD/ PRIVATE PROPERTY,30.536,-91.19887
5/30/11,3:00 PM,OFF ROAD/ PRIVATE PROPERTY,30.536,-91.19887
6/4/16,10:49 PM,OFF ROAD/ PRIVATE PROPERTY,30.536,-91.19887
7/23/15,4:48 AM,CITY STREET,30.535255,-91.198849
